Order #,FirstName,LastName,Address1,Address2,City,State,PostalCode,Country,Order Date,Product Weight,Shipping Method,Item Count,Value Of Products,Shipping Fee Paid,Tracking #,Carrier
"A2FFC195-000001-00007","Buyer001","Placeholder","101 Example St","","Springfield","WV","17919-0013","US","2026-05-30","0.00","Standard (7-10 days)","10","88.80","0.00","",""
"A2FFC195-000002-0000E","Buyer002","Placeholder","102 Example St","","Springfield","TX","25838-0026","US","2026-05-30","0.00","Standard (7-10 days)","10","87.20","0.00","",""
"A2FFC195-000003-00015","Buyer003","Placeholder","103 Example St","","Springfield","CA","33757-0039","US","2026-05-30","0.00","Standard (7-10 days)","10","80.19","0.00","",""
"A2FFC195-000004-0001C","Buyer004","Placeholder","104 Example St","","Springfield","MN","41676-0052","US","2026-05-30","0.00","Standard (7-10 days)","2","395.34","0.00","",""
"A2FFC195-000005-00023","Buyer005","Placeholder","105 Example St","","Springfield","UT","49595","US","2026-05-31","0.07","Standard (7-10 days)","1","4.89","1.99","",""
"A2FFC195-000006-0002A","Buyer006","Placeholder","106 Example St","","Springfield","WI","57514-0078","US","2026-05-31","0.07","Standard (7-10 days)","1","7.49","1.99","",""
"A2FFC195-000007-00031","Buyer007","Placeholder","107 Example St","","Springfield","TX","65433","US","2026-06-01","0.00","Standard (7-10 days)","17","219.13","0.00","",""
"A2FFC195-000008-00038","Buyer008","Placeholder","108 Example St","","Springfield","MO","73352","US","2026-06-01","0.07","Standard (7-10 days)","1","2.99","1.99","",""
"A2FFC195-000009-0003F","Buyer009","Placeholder","109 Example St","","Springfield","WA","81271","US","2026-06-01","0.07","Standard (7-10 days)","1","5.99","1.99","",""
"A2FFC195-00000A-00046","Buyer010","Placeholder","110 Example St","","Springfield","MA","89190-0130","US","2026-06-01","0.14","Standard (7-10 days)","2","6.48","1.99","",""
"A2FFC195-00000B-0004D","Buyer011","Placeholder","111 Example St","","Springfield","TX","97109","US","2026-06-01","0.14","Standard (7-10 days)","2","9.78","1.99","",""
"A2FFC195-00000C-00054","Buyer012","Placeholder","112 Example St","Unit 12","Springfield","MA","15028","US","2026-06-01","0.00","Standard (7-10 days)","8","188.52","0.00","",""
"A2FFC195-00000D-0005B","Buyer013","Placeholder","113 Example St","","Springfield","PA","22947-0169","US","2026-06-01","0.00","Standard (7-10 days)","1","333.33","0.00","",""
"A2FFC195-00000E-00062","Buyer014","Placeholder","114 Example St","","Springfield","AZ","30866-0182","US","2026-06-01","0.00","Standard (7-10 days)","10","100.18","0.00","",""
"A2FFC195-00000F-00069","Buyer015","Placeholder","115 Example St","","Springfield","OR","38785-0195","US","2026-06-01","0.00","Standard (7-10 days)","8","78.32","0.00","",""
"A2FFC195-000010-00070","Buyer016","Placeholder","116 Example St","","Springfield","WI","46704-0208","US","2026-06-01","0.07","Standard (7-10 days)","1","26.89","1.99","",""
"A2FFC195-000011-00077","Buyer017","Placeholder","117 Example St","","Springfield","MO","54623","US","2026-06-01","0.14","Standard (7-10 days)","2","4.00","1.99","",""
"A2FFC195-000012-0007E","Buyer018","Placeholder","118 Example St","Unit 18","Springfield","CA","62542","US","2026-06-01","0.42","Standard (7-10 days)","6","12.00","1.00","",""
"A2FFC195-000013-00085","Buyer019","Placeholder","119 Example St","","Springfield","VA","70461-0247","US","2026-06-01","0.07","Standard (7-10 days)","1","5.28","1.00","",""
"A2FFC195-000014-0008C","Buyer020","Placeholder","120 Example St","","Springfield","WV","78380-0260","US","2026-06-02","0.00","Standard (7-10 days)","2","119.98","10.00","",""
"A2FFC195-000015-00093","Buyer021","Placeholder","121 Example St","","Springfield","TX","86299-0273","US","2026-06-03","0.14","Standard (7-10 days)","2","18.99","1.00","",""
"A2FFC195-000016-0009A","Buyer022","Placeholder","122 Example St","","Springfield","CA","94218-0286","US","2026-06-03","0.14","Standard (7-10 days)","2","4.00","1.49","",""
"A2FFC195-000017-000A1","Buyer023","Placeholder","123 Example St","","Springfield","MA","12137","US","2026-06-03","0.14","Standard (7-10 days)","2","6.20","1.00","",""
"A2FFC195-000018-000A8","Buyer024","Placeholder","124 Example St","Unit 24","Springfield","FL","20056","US","2026-06-03","0.00","Standard (7-10 days)","6","67.14","0.00","",""
"A2FFC195-000019-000AF","Buyer025","Placeholder","125 Example St","","Springfield","SC","27975-0325","US","2026-06-03","0.07","Standard (7-10 days)","1","9.79","1.00","",""
"A2FFC195-00001A-000B6","Buyer026","Placeholder","126 Example St","Unit 26","Springfield","OH","35894","US","2026-06-04","0.14","Standard (7-10 days)","2","9.40","1.00","",""
"A2FFC195-00001B-000BD","Buyer027","Placeholder","127 Example St","Unit 27","Springfield","KY","43813-0351","US","2026-06-04","0.00","Standard (7-10 days)","8","77.52","0.00","",""
"A2FFC195-00001C-000C4","Buyer028","Placeholder","128 Example St","","Springfield","IA","51732-0364","US","2026-06-04","0.00","Standard (7-10 days)","26","251.94","0.00","",""
"A2FFC195-00001D-000CB","Buyer029","Placeholder","129 Example St","","Springfield","GA","59651","US","2026-06-04","0.14","Standard (7-10 days)","2","13.56","1.00","",""
"A2FFC195-00001E-000D2","Buyer030","Placeholder","130 Example St","","Springfield","MN","67570","US","2026-06-11","0.14","Standard (7-10 days)","2","3.00","1.49","",""
"A2FFC195-00001F-000D9","Buyer031","Placeholder","131 Example St","","Springfield","NY","75489-0403","US","2026-06-12","0.00","Standard (7-10 days)","1","599.99","0.00","",""
"A2FFC195-000020-000E0","Buyer032","Placeholder","132 Example St","","Springfield","CA","83408-0416","US","2026-06-12","0.21","Standard (7-10 days)","3","4.50","1.49","",""
"A2FFC195-000021-000E7","Buyer033","Placeholder","133 Example St","","Springfield","MA","91327-0429","US","2026-06-12","0.14","Standard (7-10 days)","2","46.65","1.00","",""
"A2FFC195-000022-000EE","Buyer034","Placeholder","134 Example St","","Springfield","TN","99246-0442","US","2026-06-13","0.21","Standard (7-10 days)","3","34.80","1.00","",""
